"服务编号","子服务1","子服务2","子服务3","子服务4","子服务5","子服务6","子服务7","子服务8","子服务9","子服务10","子服务11","子服务12","子服务13","子服务14","子服务15","子服务16","子服务17","子服务18","子服务19","子服务20","子服务21","子服务22","子服务23","子服务24","子服务25","子服务26","子服务27","子服务28","子服务29","子服务30","条件1","参数11","参数12","条件2","参数21","参数22","条件3","参数31","参数32","条件4","参数41","参数42","条件5","参数51","参数52","条件6","参数61","参数62","条件7","参数71","参数72","条件8","参数81","参数82","条件9","参数91","参数92","标示图标","描述","菜单介绍","打开网页","是否自动"
"100002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","英雄试炼任务","","",""
"100010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","进入战斗","循环任务进入战斗","","1"
"100011","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","进入战斗","考古任务进入战斗","","1"
"100012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","宠物仓库","","",""
"100013","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","兑换高级藏宝图","","",""
"100014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","任性一下","<T t=""可以选择消耗一定的符石或者一定的声望来快速完成任务"">","",""
"100016","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","35","155","8","1060000","0","","","","","","","","","","","","","","","","","","","","","","5","领取帮派任务","","",""
"100017","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","35","155","8","1060000","1","7","1060000","3","","","","","","","","","","","","","","","","","","","5","青龙堂任务","","",""
"100018","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","90","300","","","","","","","","","","","","","","","","","","","","","","","","","5","任务链","","",""
"100019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","初识蚩尤","","",""
"100020","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","天魔之路","","",""
"100021","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","进入战斗","","",""
"100022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","14","14","1","15","300","8","1070000","1","7","1070000","3","","","","","","","","","","","","","","","","1","特殊师门任务","","","1"
"100023","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","12","12","1","15","300","8","1070000","1","7","1070000","3","","","","","","","","","","","","","","","","1","特殊师门任务","","","1"
"100024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","13","13","1","15","300","8","1070000","1","7","1070000","3","","","","","","","","","","","","","","","","1","特殊师门任务","","","1"
"100025","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","16","16","1","15","300","8","1070000","1","7","1070000","3","","","","","","","","","","","","","","","","1","特殊师门任务","","","1"
"100026","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","11","11","1","15","300","8","1070000","1","7","1070000","3","","","","","","","","","","","","","","","","1","特殊师门任务","","","1"
"100027","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","15","15","1","15","300","8","1070000","1","7","1070000","3","","","","","","","","","","","","","","","","1","特殊师门任务","","","1"
"100028","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","15","300","8","1070000","1","7","1070000","3","","","","","","","","","","","","","","","","","","","5","挑战心魔","","","1"
"100029","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","18","18","1","15","300","8","1070000","1","7","1070000","3","","","","","","","","","","","","","","","","1","特殊师门任务","","","1"
"100030","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","17","17","1","15","300","8","1070000","1","7","1070000","3","","","","","","","","","","","","","","","","1","特殊师门任务","","","1"
"100031","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","19","19","1","15","300","8","1070000","1","7","1070000","3","","","","","","","","","","","","","","","","1","特殊师门任务","","","1"
"100032","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","20","20","1","15","300","8","1070000","1","7","1070000","3","","","","","","","","","","","","","","","","1","特殊师门任务","","",""
"100033","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","21","21","1","15","300","8","1070000","1","7","1070000","3","","","","","","","","","","","","","","","","1","特殊师门任务","","",""
"100034","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","22","22","1","15","300","8","1070000","1","7","1070000","3","","","","","","","","","","","","","","","","1","特殊师门任务","","",""
"999442","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","23","23","1","15","300","8","1070000","1","7","1070000","3","","","","","","","","","","","","","","","","1","特殊师门任务","","",""
"999443","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","24","24","1","15","300","8","1070000","1","7","1070000","3","","","","","","","","","","","","","","","","1","特殊师门任务","","",""
"999444","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","25","25","1","15","300","8","1070000","1","7","1070000","3","","","","","","","","","","","","","","","","1","特殊师门任务","","",""
"100035","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","师门任务","","","1"
"100036","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","特殊师门任务","","","1"
"100037","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","15","300","8","1010000","1","7","1010000","3","","","","","","","","","","","","","","","","","","","5","师门任务-挑战","","",""
"100038","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","15","300","8","1010000","1","7","1010000","3","","","","","","","","","","","","","","","","","","","5","师门任务-挑战","","",""
"100039","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","15","300","8","1010000","1","7","1010000","3","","","","","","","","","","","","","","","","","","","5","师门任务-挑战","","",""
